07 38 49.8813,-26 48 14.013,3.8,-0.159
15 34 48.1902,10 32 19.893,3.8,0.268
23 37 33.7077,46 27 33.034,3.81,0.984
10 27 52.7451,-58 44 21.871,3.81,0.317
15 42 44.6382,26 17 43.851,3.81,0.02
04 35 33.0717,-30 33 44.318,3.81,0.957
02 02 02.8006,02 45 49.538,3.82,0.024
16 30 54.8412,01 59 02.762,3.82,0.022
09 18 50.6673,36 48 10.431,3.82,0.066
17 39 27.8924,46 00 22.760,3.82,-0.179
11 31 24.2885,69 19 52.038,3.82,1.613
10 26 05.5050,-16 50 09.945,3.83,1.456
13 58 16.2847,-42 06 02.539,3.83,-0.224
14 47 51.7262,-79 02 40.965,3.83,1.433
08 55 02.8617,-60 38 40.963,3.84,-0.104
19 48 10.2136,70 16 04.207,3.84,0.888
03 44 11.5549,-64 48 25.538,3.84,1.133
10 32 48.6751,09 18 23.740,3.84,-0.148
18 13 45.8087,-21 03 31.789,3.84,0.195
10 37 18.2568,-48 13 32.219,3.84,0.3
04 28 34.4323,15 57 43.982,3.84,0.952
03 44 19.1264,32 17 17.784,3.84,0.022
18 07 32.5508,28 45 44.893,3.84,-0.018
12 32 28.1110,-72 07 58.713,3.84,-0.157
18 35 12.4379,-08 14 35.909,3.85,1.317
05 47 17.0833,-51 04 00.168,3.85,0.171
04 14 00.0813,-42 17 37.943,3.85,1.085
12 37 42.3278,-48 32 28.637,3.85,0.049
15 56 26.9942,15 39 53.040,3.85,0.478
10 14 44.2738,-42 07 19.426,3.85,0.051
18 23 41.7668,21 46 13.233,3.85,1.168
06 22 06.8452,-33 26 10.581,3.85,0.858
12 33 29.0425,69 47 17.556,3.85,-0.116
22 21 39.3000,-01 23 14.471,3.86,-0.057
05 31 12.7355,-35 28 13.569,3.86,1.13
16 15 26.2661,-63 41 08.336,3.86,1.105
17 56 15.1785,37 15 01.878,3.86,1.35
00 56 45.0977,38 29 57.318,3.86,0.13
04 38 10.8709,-14 18 12.913,3.86,1.082
16 33 27.4642,-78 53 49.053,3.86,0.923
19 52 28.3638,01 00 20.442,3.87,0.63
13 58 40.7714,-44 48 12.713,3.87,-0.208
08 46 01.6547,-46 02 29.541,3.87,0.015
03 45 49.5931,24 22 04.289,3.87,-0.063
15 56 53.0867,-29 12 50.444,3.87,-0.199
14 43 03.5623,-05 39 26.745,3.87,0.385
15 11 56.1610,-48 44 15.728,3.88,-0.029
00 09 24.5399,-45 44 49.158,3.88,1.013
23 10 21.4279,-45 14 47.931,3.88,0.998
09 52 45.9577,26 00 25.506,3.88,1.222
01 53 31.7652,19 17 38.734,3.88,-0.047
09 14 21.7933,02 18 54.087,3.89,-0.06
02 56 25.6038,-08 53 51.395,3.89,1.088
19 56 18.3962,35 05 00.567,3.89,1.019
12 19 54.3914,-00 40 00.290,3.89,0.026
06 54 07.9548,-24 11 03.203,3.89,1.74
11 21 00.4422,-54 29 27.650,3.9,-0.157
09 39 51.3340,-01 08 33.566,3.9,1.313
13 31 02.6685,-39 24 26.207,3.9,1.186
08 25 39.6709,-03 54 22.913,3.91,-0.012
12 28 02.4116,-50 13 50.177,3.91,-0.192
04 03 09.3768,05 59 21.513,3.91,0.032
15 05 07.1057,-47 03 04.298,3.91,-0.144
15 35 31.5394,-14 47 22.393,3.91,1.007
16 19 44.4479,46 18 47.775,3.91,-0.151
21 15 49.3967,05 14 53.066,3.92,0.549
17 00 17.4062,30 55 34.821,3.92,-0.018
19 21 40.3753,-17 50 50.106,3.92,0.228
04 36 19.1406,-03 21 08.813,3.93,-0.21
07 41 49.1960,-72 36 22.087,3.93,1.033
00 26 12.1162,-43 40 47.674,3.93,0.175
01 31 14.9815,-49 04 23.077,3.93,0.972
11 08 35.3956,-58 58 30.151,3.93,1.225
02 54 15.4625,52 45 44.964,3.93,0.758
18 00 38.7155,02 55 53.715,3.93,0.029
16 06 48.4325,-20 40 08.885,3.93,-0.046
01 08 23.0601,-55 14 44.996,3.94,-0.12
07 41 14.8767,-09 33 03.899,3.94,1.022
07 43 48.4721,-28 57 17.407,3.94,0.16
08 44 41.1101,18 09 17.510,3.94,1.083
20 57 10.4116,41 10 01.898,3.94,0.027
02 03 26.1903,72 25 16.463,3.95,-0.002
06 36 40.9989,-19 15 20.553,3.95,1.037
09 11 16.7679,-62 19 01.257,3.96,-0.18
19 23 53.1514,-40 36 56.327,3.96,-0.105
19 22 38.2865,-44 27 32.076,3.96,-0.085
04 08 39.6733,47 42 45.337,3.96,-0.025
20 15 28.3182,47 42 51.139,3.96,1.451
05 59 08.7905,-42 48 54.387,3.96,1.146
09 00 38.7522,41 47 00.398,3.96,0.463
23 22 58.3015,-20 06 01.242,3.96,1.082
20 00 35.3933,-72 54 36.664,3.97,-0.032
08 40 06.1365,-35 18 29.883,3.97,0.936
15 50 57.5418,-33 37 37.578,3.97,-0.045
22 46 31.8424,23 33 56.446,3.97,1.07
12 11 39.1514,-52 22 06.296,3.97,-0.156
22 29 16.1541,-43 29 43.996,3.97,1.022
05 51 29.3926,39 08 54.526,3.97,1.132
04 24 02.1654,-34 01 01.151,3.97,1.468
07 16 49.8308,-67 57 25.821,3.97,0.76
03 58 57.8997,35 47 27.697,3.98,0.016
21 33 58.8729,45 35 31.436,3.98,0.885
23 17 25.8120,-58 14 09.339,3.99,0.41
02 00 00.2248,-21 04 39.979,3.99,1.554
13 25 13.4156,54 59 16.796,3.99,0.169
06 14 51.3365,-06 16 29.019,3.99,1.319
10 24 23.7405,-74 01 53.561,3.99,0.369
16 11 59.7405,-19 27 38.329,4,0.076
09 02 26.7988,-66 23 45.037,4,0.145
11 23 55.3688,10 31 46.912,4,0.423
20 29 23.7310,30 22 06.804,4.01,0.404
07 04 06.5354,20 34 13.078,4.01,0.899
18 43 02.1338,-71 25 39.823,4.01,1.134
16 19 50.5676,-50 09 19.365,4.01,1.08
16 01 53.7037,58 33 51.975,4.01,0.528
14 41 57.6128,-37 47 36.326,4.01,-0.157
04 45 30.1410,-03 15 16.649,4.01,-0.148
07 14 48.6616,-26 46 21.670,4.01,-0.15
01 43 39.6153,50 41 19.556,4.01,-0.098
08 50 32.0113,-27 42 36.211,4.02,1.272
18 59 37.3892,15 04 06.519,4.02,1.082
19 01 40.8414,-05 44 20.466,4.02,1.079
12 08 24.7527,-24 43 43.608,4.02,0.334
05 03 25.0973,60 26 32.213,4.03,0.921
20 33 12.7648,11 18 11.996,4.03,-0.123
12 54 35.6576,-57 10 40.408,4.03,-0.18
18 05 27.2128,02 30 08.781,4.03,0.86
23 59 18.6024,06 51 48.937,4.03,0.419
08 46 41.8343,28 45 36.018,4.03,1.007
02 17 18.8357,33 50 50.356,4.03,0.019
22 35 21.3289,-00 07 02.500,4.04,-0.083
14 25 12.0194,51 51 06.169,4.04,0.497
11 45 51.5706,06 31 47.330,4.04,1.501
